,Cocoa Percent,Number_of_Ingredients,Rating,clusters,cluster
82,0.7,4,2.75,2,black
83,0.7,4,3.5,2,black
84,0.7,2,3.5,1,purple
85,0.7,4,2.75,2,black
86,0.7,4,2.75,2,black
87,0.72,3,3.75,1,purple
88,0.75,2,3.75,1,purple
89,0.71,4,3.0,2,black
90,0.7,4,2.5,2,black
91,0.7,4,2.75,2,black
92,0.7,4,2.75,2,black
93,0.7,3,3.25,1,purple
94,0.7,3,3.75,1,purple
95,0.72,4,3.0,2,black
96,0.7,4,3.5,2,black
97,0.7,4,2.75,2,black
98,0.7,4,2.75,2,black
99,0.7,3,3.0,0,tan
100,0.73,2,3.5,1,purple
101,0.7,4,2.5,2,black
102,0.7,4,3.0,2,black
103,0.7,3,2.5,0,tan
104,0.7,3,3.25,1,purple
105,1.0,3,2.75,0,tan
106,1.0,3,2.25,0,tan
107,0.72,3,3.25,1,purple
108,1.0,3,3.0,0,tan
109,0.7,5,4.0,2,black
110,0.7,2,4.0,1,purple
111,1.0,3,1.75,0,tan
112,1.0,1,2.5,0,tan
113,1.0,3,2.75,0,tan
114,0.7,3,3.0,0,tan
115,0.7,3,3.75,1,purple
116,0.75,3,2.5,0,tan
117,0.8,4,3.25,0,tan
118,0.9,3,3.75,1,purple
119,0.74,4,2.75,2,black
120,0.65,5,3.5,2,black
121,0.84,3,2.25,0,tan
122,0.7,2,3.75,1,purple
123,0.72,5,3.0,2,black
124,0.7,5,3.25,2,black
125,0.6,4,2.5,2,black
126,0.6,4,3.0,2,black
127,0.75,5,3.5,2,black
128,0.85,5,3.5,2,black
129,0.8,4,3.25,0,tan
130,0.7,3,3.75,1,purple
131,0.78,4,3.75,1,purple
132,0.6,4,3.0,2,black
133,0.6,4,3.25,2,black
134,0.55,4,2.5,2,black
135,0.7,4,2.75,2,black
136,0.6,2,2.75,0,tan
137,0.7,2,3.25,1,purple
138,0.74,3,3.5,1,purple
139,0.74,3,3.5,1,purple
140,0.74,3,3.5,1,purple
141,0.73,3,4.0,1,purple
142,0.6,4,3.25,2,black
143,0.7,5,3.5,2,black
144,0.72,3,3.25,1,purple
145,0.73,3,3.5,1,purple
146,0.7,3,4.0,1,purple
147,0.75,3,3.5,1,purple
148,0.7,4,3.0,2,black
149,0.42,4,2.75,2,black
150,0.64,5,3.5,2,black
151,0.7,3,2.75,0,tan
152,0.72,3,3.0,0,tan
153,0.7,2,3.5,1,purple
154,0.7,2,3.0,0,tan
155,0.7,2,3.0,0,tan
156,0.67,2,2.75,0,tan
157,0.78,2,3.25,0,tan
158,0.74,3,2.75,0,tan
159,0.7,2,3.25,1,purple
160,0.7,3,3.25,1,purple
161,0.7,3,3.5,1,purple
162,0.72,3,2.75,0,tan
163,0.72,3,2.75,0,tan
164,0.72,3,3.0,0,tan
165,0.72,3,3.0,0,tan
166,0.75,3,2.5,0,tan
167,0.89,3,2.75,0,tan
168,0.75,3,3.25,1,purple
169,0.65,4,3.25,2,black
170,0.66,4,3.5,2,black
171,0.72,5,3.0,2,black
172,0.72,5,3.0,2,black
173,0.71,4,2.5,2,black
174,0.71,4,2.5,2,black
175,0.7,4,3.0,2,black
176,0.7,3,3.25,1,purple
177,0.75,3,2.75,0,tan
178,0.75,5,2.5,2,black
179,0.72,3,3.5,1,purple
180,0.68,3,4.0,1,purple
181,0.74,3,4.0,1,purple
182,0.7,3,4.0,1,purple
183,0.7,3,3.75,1,purple
184,0.72,4,2.75,2,black
185,0.75,2,3.0,0,tan
186,0.68,3,2.75,0,tan
187,0.75,3,3.0,0,tan
188,0.7,3,3.5,1,purple
189,0.7,3,3.5,1,purple
190,1.0,1,3.5,0,tan
191,0.56,4,3.25,2,black
192,0.74,4,2.25,0,tan
193,0.89,4,2.5,0,tan
194,0.72,3,3.25,1,purple
195,0.75,2,3.75,1,purple
196,0.7,3,3.25,1,purple
197,0.76,2,3.5,1,purple
198,0.8,3,2.75,0,tan
199,0.74,3,2.75,0,tan
200,0.75,3,3.25,1,purple
201,0.7,3,3.5,1,purple
202,0.65,3,2.75,2,black
203,0.7,3,3.0,0,tan
204,0.8,3,3.0,0,tan
205,0.66,3,3.25,1,purple
206,1.0,3,2.0,0,tan
207,0.75,3,3.0,0,tan
208,0.8,4,2.75,0,tan
209,0.7,3,3.25,1,purple
210,0.8,2,3.0,0,tan
211,0.8,2,3.75,1,purple
212,0.8,3,3.0,0,tan
213,0.74,3,3.25,1,purple
214,0.9,3,3.25,0,tan
215,0.75,3,3.5,1,purple
216,0.75,2,2.5,0,tan
217,0.65,6,2.75,2,black
218,0.75,5,2.75,2,black
219,0.75,5,3.0,2,black
220,0.74,3,2.5,0,tan
221,0.74,3,2.75,0,tan
222,0.7,4,2.5,2,black
223,0.7,2,3.5,1,purple
224,0.75,3,2.75,0,tan
225,0.75,3,3.0,0,tan
226,0.72,3,3.25,1,purple
227,0.82,4,3.25,0,tan
228,0.85,3,2.75,0,tan
229,0.7,3,3.5,1,purple
230,0.75,3,3.5,1,purple
231,0.88,3,3.0,0,tan
232,0.7,4,3.0,2,black
233,0.7,4,3.0,2,black
234,0.7,4,3.5,2,black
235,0.7,4,3.75,2,black
236,0.75,3,2.5,0,tan
237,0.71,3,3.5,1,purple
238,0.72,3,3.0,0,tan
239,0.7,3,3.5,1,purple
240,0.72,3,3.5,1,purple
241,0.75,2,3.5,1,purple
242,0.68,3,2.75,0,tan
243,0.7,3,3.5,1,purple
244,0.74,2,3.5,1,purple
245,0.67,3,3.5,1,purple
246,0.72,2,2.75,0,tan
247,0.78,2,3.75,1,purple
248,0.72,2,3.0,0,tan
249,0.67,3,3.0,2,black
250,0.67,3,3.75,1,purple
251,0.67,3,3.75,1,purple
252,0.7,2,3.0,0,tan
253,0.7,3,3.0,0,tan
254,0.66,3,3.5,1,purple
255,0.7,3,2.5,0,tan
256,0.7,3,2.75,0,tan
257,0.6,2,3.0,1,purple
258,0.7,2,3.0,0,tan
259,0.7,3,2.75,0,tan
260,0.7,3,3.0,0,tan
261,0.77,3,3.0,0,tan
262,0.7,2,3.75,1,purple
263,0.7,2,3.5,1,purple
264,0.7,3,3.75,1,purple
265,0.7,3,3.5,1,purple
266,0.75,2,3.0,0,tan
267,0.7,3,3.75,1,purple
268,0.74,3,2.75,0,tan
269,0.7,3,3.5,1,purple
270,0.7,3,3.75,1,purple
271,0.7,3,3.5,1,purple
272,0.7,3,3.75,1,purple
273,0.7,3,3.0,0,tan
274,0.72,3,3.5,1,purple
275,0.7,3,2.75,0,tan
276,0.72,3,2.75,0,tan
277,0.73,2,2.25,0,tan
278,0.64,2,2.75,0,tan
279,0.68,3,3.0,0,tan
280,0.7,3,2.75,0,tan
281,0.72,2,3.5,1,purple
282,0.8,3,3.0,0,tan
283,0.8,3,3.5,1,purple
284,0.8,3,3.75,1,purple
285,0.72,2,2.25,0,tan
286,0.72,2,3.25,1,purple
287,0.72,2,3.25,1,purple
288,0.85,2,3.5,0,tan
289,0.7,3,2.5,0,tan
290,0.65,3,2.25,0,tan
291,0.8,3,3.0,0,tan
292,0.7,3,3.25,1,purple
293,0.7,2,2.5,0,tan
294,0.7,2,2.75,0,tan
295,0.7,2,3.0,0,tan
296,0.85,3,2.5,0,tan
297,0.7,4,3.5,2,black
298,0.72,5,3.75,2,black
299,0.65,5,3.75,2,black
300,0.64,5,4.0,2,black
301,0.7,4,3.5,2,black
302,0.75,2,3.25,1,purple
303,0.7,2,3.0,0,tan
304,0.7,2,3.5,1,purple
305,0.84,3,3.5,0,tan
306,0.7,3,3.5,1,purple
307,0.68,2,3.25,1,purple
308,0.75,4,3.0,2,black
309,0.7,2,4.0,1,purple
310,0.7,2,3.5,1,purple
311,0.75,4,3.0,2,black
312,0.75,4,3.25,2,black
313,0.72,3,3.25,1,purple
314,0.72,3,3.5,1,purple
315,0.75,2,2.75,0,tan
316,0.72,3,3.25,1,purple
317,0.72,3,3.25,1,purple
318,0.7,2,2.75,0,tan
319,0.7,3,3.0,0,tan
320,0.7,3,3.25,1,purple
321,0.8,3,3.5,1,purple
322,0.7,3,3.75,1,purple
323,0.7,3,3.0,0,tan
324,0.7,3,3.0,0,tan
325,0.7,3,3.75,1,purple
326,0.73,2,3.25,1,purple
327,0.73,2,2.5,0,tan
328,0.7,4,2.75,2,black
329,0.7,4,3.5,2,black
330,0.7,4,3.5,2,black
331,0.73,2,3.25,1,purple
332,0.73,2,3.5,1,purple
333,0.7,4,3.75,2,black
334,0.7,4,4.0,1,purple
335,0.77,2,3.25,0,tan
336,0.67,2,3.75,1,purple
337,0.73,2,3.75,1,purple
338,0.6,3,2.5,2,black
339,0.55,4,2.75,2,black
340,0.7,4,3.0,2,black
341,0.72,2,2.5,0,tan
342,0.65,4,3.25,2,black
343,0.7,4,2.75,2,black
344,0.7,4,2.75,2,black
345,0.7,4,3.5,2,black
346,0.76,4,3.75,1,purple
347,0.75,2,3.0,0,tan
348,0.72,2,3.25,1,purple
349,0.7,3,3.0,0,tan
350,0.83,3,2.75,0,tan
351,0.67,3,3.75,1,purple
352,0.73,3,3.75,1,purple
353,0.7,3,3.25,1,purple
354,0.75,3,4.0,1,purple
355,0.73,3,3.75,1,purple
356,0.7,3,3.25,1,purple
357,0.7,3,3.5,1,purple
358,0.7,3,3.75,1,purple
359,0.7,3,3.75,1,purple
360,0.8,3,3.25,0,tan
361,0.7,3,3.5,1,purple
362,0.72,3,3.5,1,purple
363,0.67,4,3.5,2,black
364,0.73,5,1.0,0,tan
365,0.62,5,3.0,2,black
366,0.75,5,3.75,2,black
367,0.6,2,3.25,1,purple
368,0.7,2,3.5,1,purple
369,0.7,3,3.25,1,purple
370,0.8,3,3.5,1,purple
371,0.6,4,3.5,2,black
372,0.65,4,3.5,2,black
373,0.7,3,4.0,1,purple
374,0.7,3,3.5,1,purple
375,0.7,3,3.75,1,purple
376,0.76,3,3.0,0,tan
377,0.725,5,2.5,2,black
378,0.725,5,3.0,2,black
379,0.75,2,3.75,1,purple
380,0.725,5,2.5,2,black
381,0.725,5,3.0,2,black
382,0.65,3,3.5,1,purple
383,0.85,3,2.5,0,tan
384,0.7,2,3.25,1,purple
385,0.7,2,3.25,1,purple
386,0.7,2,3.25,1,purple
387,0.7,2,3.5,1,purple
388,0.76,3,3.5,1,purple
389,0.72,3,3.25,1,purple
390,0.72,3,3.25,1,purple
391,0.7,2,3.5,1,purple
392,0.7,2,3.5,1,purple
393,0.7,2,4.0,1,purple
394,0.75,3,3.0,0,tan
395,0.72,3,2.5,0,tan
396,0.75,3,2.75,0,tan
397,0.75,3,3.0,0,tan
398,0.7,4,3.25,2,black
399,0.7,3,3.0,0,tan
400,0.7,3,3.5,1,purple
401,0.7,3,3.5,1,purple
402,0.7,2,3.75,1,purple
403,0.7,3,3.5,1,purple
404,0.7,3,3.5,1,purple
405,0.7,2,3.75,1,purple
406,0.7,2,3.75,1,purple
407,0.7,3,3.25,1,purple
408,0.75,2,2.5,0,tan
409,0.74,2,3.25,1,purple
410,0.75,2,3.5,1,purple
411,0.65,4,3.25,2,black
412,0.75,4,3.75,1,purple
413,0.7,2,3.5,1,purple
414,0.7,2,3.75,1,purple
415,0.75,4,2.75,2,black
416,0.7,4,3.0,2,black
417,0.75,2,3.5,1,purple
418,0.7,2,3.75,1,purple
419,0.72,2,2.25,0,tan
420,0.7,2,2.5,0,tan
421,0.735,2,2.5,0,tan
422,0.7,3,3.5,1,purple
423,0.7,3,2.75,0,tan
424,0.75,2,3.0,0,tan
425,0.82,2,3.25,0,tan
426,0.72,3,3.5,1,purple
427,0.75,2,2.5,0,tan
428,0.72,5,4.0,2,black
429,0.72,5,2.0,2,black
430,0.7,4,1.0,0,tan
431,0.66,2,2.75,0,tan
432,0.7,2,3.0,0,tan
433,0.88,2,3.25,0,tan
434,0.74,2,3.5,1,purple
435,0.7,4,3.25,2,black
436,0.7,4,3.5,2,black
437,0.7,4,3.75,2,black
438,0.7,4,4.0,1,purple
439,0.81,2,3.25,0,tan
440,0.75,3,3.25,1,purple
441,0.65,3,3.75,1,purple
442,0.72,2,2.5,0,tan
443,0.72,3,2.75,0,tan
444,0.72,3,3.0,0,tan
445,0.72,3,3.25,1,purple
446,0.9,2,3.25,0,tan
447,0.72,3,3.25,1,purple
448,0.72,3,3.25,1,purple
449,0.7,3,2.75,0,tan
450,0.82,2,3.25,0,tan
451,0.63,3,3.5,1,purple
452,0.64,4,3.5,2,black
453,0.7,4,3.5,2,black
454,0.7,4,2.75,2,black
455,0.72,3,2.75,0,tan
456,0.69,4,2.75,2,black
457,0.7,4,3.25,2,black
458,0.68,4,2.75,2,black
459,0.68,3,2.75,0,tan
460,0.74,2,2.75,0,tan
461,0.7,2,3.0,0,tan
462,0.8,2,3.25,0,tan
463,0.75,2,2.5,0,tan
464,0.72,2,3.0,0,tan
465,0.7,2,3.5,1,purple
466,0.74,2,2.5,0,tan
467,0.75,3,3.25,1,purple
468,0.7,2,3.75,1,purple
469,0.7,2,3.0,0,tan
470,0.76,2,3.0,0,tan
471,0.74,2,3.25,1,purple
472,0.72,2,3.25,1,purple
473,0.73,2,3.5,1,purple
474,0.7,5,3.0,2,black
475,0.62,5,3.25,2,black
476,0.6,5,3.25,2,black
477,0.79,3,3.0,0,tan
478,0.7,2,3.75,1,purple
479,0.82,3,3.0,0,tan
480,0.7,3,2.75,0,tan
481,0.7,3,3.5,1,purple
482,0.7,4,2.75,2,black
483,0.7,3,3.25,1,purple
484,0.77,3,3.0,0,tan
485,0.78,3,3.5,1,purple
486,0.57,3,2.75,2,black
487,0.7,2,2.75,0,tan
488,0.7,2,3.0,0,tan
489,0.7,2,3.5,1,purple
490,0.77,2,2.75,0,tan
491,0.77,2,3.0,0,tan
492,0.77,2,3.0,0,tan
493,0.77,2,3.25,0,tan
494,0.74,3,3.5,1,purple
495,0.7,3,3.5,1,purple
496,0.8,3,3.5,1,purple
497,0.72,3,3.0,0,tan
498,0.68,3,3.75,1,purple
499,0.7,2,3.75,1,purple
500,0.72,3,3.5,1,purple
501,0.65,3,3.5,1,purple
502,0.7,4,3.5,2,black
503,0.7,4,3.5,2,black
504,0.7,4,3.5,2,black
505,0.7,4,3.5,2,black
506,0.85,2,3.5,0,tan
507,0.7,2,3.5,1,purple
508,0.77,2,2.75,0,tan
509,0.74,2,3.5,1,purple
510,0.72,5,3.5,2,black
511,0.75,4,3.0,2,black
512,0.67,4,3.5,2,black
513,0.85,5,1.5,0,tan
514,0.66,5,3.0,2,black
515,0.7,4,3.0,2,black
516,0.7,2,3.75,1,purple
517,0.7,2,3.25,1,purple
518,0.7,2,3.25,1,purple
519,0.7,2,3.75,1,purple
520,0.7,3,3.5,1,purple
521,0.62,3,3.5,1,purple
522,0.8,2,3.25,0,tan
523,0.7,2,3.5,1,purple
524,0.7,3,3.5,1,purple
525,0.7,2,2.75,0,tan
526,0.7,2,3.75,1,purple
527,0.7,2,3.75,1,purple
528,0.7,2,3.25,1,purple
529,0.76,2,2.5,0,tan
530,0.65,2,2.5,0,tan
531,0.65,2,2.75,0,tan
532,0.76,2,2.5,0,tan
533,0.78,4,2.5,0,tan
534,0.86,4,3.25,0,tan
535,0.73,2,3.5,1,purple
536,0.8,3,3.5,1,purple
537,0.7,3,3.5,1,purple
538,0.75,3,3.75,1,purple
539,0.75,3,3.75,1,purple
540,0.8,3,2.75,0,tan
541,0.7,3,3.0,0,tan
542,0.64,4,3.0,2,black
543,0.66,2,3.25,1,purple
544,0.75,2,3.25,1,purple
545,0.63,2,3.25,1,purple
546,0.7,2,3.25,1,purple
547,0.68,2,3.5,1,purple
548,0.7,5,2.5,2,black
549,0.65,5,3.0,2,black
550,0.73,5,2.0,2,black
551,0.75,5,2.75,2,black
552,0.82,5,2.0,0,tan
553,0.7,5,3.5,2,black
554,0.75,2,2.0,0,tan
555,0.7,3,3.5,1,purple
556,1.0,1,3.0,0,tan
557,0.77,2,2.75,0,tan
558,0.62,3,2.5,2,black
559,0.8,2,2.75,0,tan
560,1.0,1,3.0,0,tan
561,0.7,2,3.25,1,purple
562,0.8,3,2.75,0,tan
563,0.8,3,2.75,0,tan
564,0.8,2,3.25,0,tan
565,0.63,5,4.0,2,black
566,0.6,3,3.0,2,black
567,0.8,3,3.25,0,tan
568,0.7,2,3.5,1,purple
569,0.8,2,2.5,0,tan
570,0.72,2,3.0,0,tan
571,0.8,3,2.75,0,tan
572,0.8,3,3.25,0,tan
573,0.6,3,3.25,2,black
574,0.72,3,3.5,1,purple
575,0.72,3,3.75,1,purple
576,0.65,2,2.5,0,tan
577,0.75,2,2.5,0,tan
578,0.72,2,2.25,0,tan
579,0.72,2,2.75,0,tan
580,0.72,2,3.0,0,tan
581,0.72,2,3.0,0,tan
582,0.85,5,2.5,0,tan
583,1.0,3,2.0,0,tan
584,0.9,3,2.0,0,tan
585,0.75,3,3.0,0,tan
586,0.65,3,3.0,2,black
587,0.74,3,3.5,1,purple
588,0.75,3,3.25,1,purple
589,0.68,3,3.5,1,purple
590,0.8,3,3.75,1,purple
591,0.7,2,3.5,1,purple
592,0.68,2,3.5,1,purple
593,0.7,2,3.75,1,purple
594,0.63,2,2.75,0,tan
595,0.75,4,3.5,2,black
596,0.75,3,3.25,1,purple
597,0.7,3,3.5,1,purple
598,0.7,4,3.5,2,black
599,0.7,3,3.5,1,purple
600,0.7,2,3.5,1,purple
601,0.7,2,3.5,1,purple
602,0.8,4,3.0,0,tan
603,0.7,2,2.75,0,tan
604,0.74,2,3.0,0,tan
605,0.7,2,3.0,0,tan
606,0.7,2,2.75,0,tan
607,0.73,2,3.25,1,purple
608,0.7,2,3.25,1,purple
609,0.7,3,3.0,0,tan
610,0.7,3,3.25,1,purple
611,0.7,2,3.5,1,purple
612,0.7,3,3.5,1,purple
613,0.7,3,3.0,0,tan
614,0.7,3,3.25,1,purple
615,0.7,3,3.75,1,purple
616,0.75,3,4.0,1,purple
617,0.7,2,2.5,0,tan
618,0.7,3,3.75,1,purple
619,0.7,2,3.25,1,purple
620,0.7,2,3.5,1,purple
621,0.8,2,3.25,0,tan
622,0.73,2,3.5,1,purple
623,0.7,2,3.0,0,tan
624,0.7,2,3.25,1,purple
625,0.7,2,3.5,1,purple
626,0.75,2,3.25,1,purple
627,0.85,4,3.0,0,tan
628,0.71,5,2.75,2,black
629,0.7,2,3.25,1,purple
630,0.7,2,3.25,1,purple
631,0.72,3,3.5,1,purple
632,0.7,3,3.75,1,purple
633,0.72,2,3.5,1,purple
634,0.72,2,3.75,1,purple
635,0.7,3,3.0,0,tan
636,0.72,3,3.5,1,purple
637,0.7,3,3.25,1,purple
638,0.7,3,3.25,1,purple
639,0.7,3,3.25,1,purple
640,0.7,3,3.5,1,purple
641,0.6,3,3.0,2,black
642,0.72,3,3.5,1,purple
643,0.69,3,3.75,1,purple
644,0.8,2,3.75,1,purple
645,0.82,3,3.25,0,tan
646,0.7,3,3.5,1,purple
647,0.72,2,3.25,1,purple
648,0.72,2,3.5,1,purple
649,0.75,4,2.75,2,black
650,0.75,4,2.75,2,black
651,0.75,4,3.0,2,black
652,0.75,4,3.25,2,black
653,0.75,4,3.0,2,black
654,0.7,3,2.75,0,tan
655,0.7,3,3.5,1,purple
656,0.75,3,4.0,1,purple
657,0.7,2,3.5,1,purple
658,0.7,2,3.75,1,purple
659,0.7,2,4.0,1,purple
660,0.7,3,3.0,0,tan
661,0.7,5,3.75,2,black
662,0.75,2,2.75,0,tan
663,0.7,2,3.25,1,purple
664,0.75,3,3.5,1,purple
665,0.7,3,2.75,0,tan
666,0.7,3,3.5,1,purple
667,0.68,3,3.5,1,purple
668,0.7,2,2.5,0,tan
669,0.75,3,2.75,0,tan
670,0.72,3,3.0,0,tan
671,0.7,3,3.0,0,tan
672,0.7,3,3.5,1,purple
673,0.7,2,3.0,0,tan
674,0.73,2,3.0,0,tan
675,0.73,2,3.25,1,purple
676,0.7,3,3.0,0,tan
677,0.7,2,2.75,0,tan
678,0.7,2,3.25,1,purple
679,0.65,3,3.25,1,purple
680,0.7,2,2.75,0,tan
681,0.75,4,4.0,1,purple
682,0.65,3,3.5,1,purple
683,0.64,5,3.25,2,black
684,0.7,3,3.5,1,purple
685,0.67,3,3.75,1,purple
686,0.7,3,3.75,1,purple
687,0.72,3,4.0,1,purple
688,0.7,2,3.5,1,purple
689,0.72,3,2.75,0,tan
690,0.7,3,3.5,1,purple
691,0.7,3,3.5,1,purple
692,0.76,2,3.5,1,purple
693,0.7,3,3.25,1,purple
694,0.7,3,3.25,1,purple
695,0.7,3,4.0,1,purple
696,0.73,2,3.5,1,purple
697,0.78,3,3.5,1,purple
698,0.7,4,3.0,2,black
699,0.7,2,3.75,1,purple
700,0.75,4,3.5,2,black
701,0.7,2,3.75,1,purple
702,0.7,2,3.25,1,purple
703,0.65,4,3.25,2,black
704,0.7,4,4.0,1,purple
705,0.75,4,3.25,2,black
706,0.75,4,3.75,1,purple
707,0.7,4,3.5,2,black
708,0.8,4,3.5,1,purple
709,0.75,4,3.5,2,black
710,0.75,4,3.0,2,black
711,0.85,2,3.25,0,tan
712,0.68,2,3.5,1,purple
713,0.7,2,3.75,1,purple
714,0.73,2,3.25,1,purple
715,0.7,2,2.75,0,tan
716,0.7,4,3.25,2,black
717,0.63,4,3.5,2,black
718,0.7,3,2.75,0,tan
719,0.85,4,3.5,0,tan
720,0.7,5,3.25,2,black
721,0.7,2,2.75,0,tan
722,0.7,2,2.75,0,tan
723,0.77,4,2.5,0,tan
724,0.85,5,3.5,2,black
725,0.77,2,3.5,1,purple
726,0.77,2,3.5,1,purple
727,0.65,3,3.5,1,purple
728,0.72,3,3.75,1,purple
729,0.7,4,4.0,1,purple
730,0.7,5,3.75,2,black
731,0.67,3,3.0,2,black
732,0.7,3,3.75,1,purple
733,0.7,3,2.25,0,tan
734,0.7,3,2.75,0,tan
735,0.7,3,3.25,1,purple
736,0.74,2,3.25,1,purple
737,0.66,2,3.0,1,purple
738,0.7,2,3.75,1,purple
739,0.7,2,3.75,1,purple
740,0.7,3,2.5,0,tan
741,0.7,4,2.75,2,black
742,0.7,4,3.0,2,black
743,0.8,3,2.75,0,tan
744,0.77,3,2.75,0,tan
745,0.6,3,3.0,2,black
746,0.85,3,3.25,0,tan
747,0.77,4,2.75,0,tan
748,0.7,4,3.5,2,black
749,0.7,2,3.25,1,purple
750,0.7,2,3.0,0,tan
751,0.7,2,3.25,1,purple
752,0.7,2,3.5,1,purple
753,0.7,3,3.5,1,purple
754,0.8,3,2.75,0,tan
755,0.77,2,3.5,1,purple
756,0.85,3,3.0,0,tan
757,0.7,4,3.0,2,black
758,0.7,4,3.0,2,black
759,0.7,4,3.0,2,black
760,0.75,2,3.25,1,purple
761,0.67,3,3.0,2,black
762,0.7,4,3.0,2,black
763,0.7,2,2.75,0,tan
764,0.7,2,3.5,1,purple
765,0.63,4,3.5,2,black
766,0.75,4,3.75,1,purple
767,0.66,4,2.5,2,black
768,0.77,3,3.5,1,purple
769,0.74,3,3.5,1,purple
770,0.75,2,2.75,0,tan
771,0.75,2,3.5,1,purple
772,0.88,3,3.25,0,tan
773,0.7,3,3.25,1,purple
774,0.7,3,3.75,1,purple
775,0.7,4,3.5,2,black
776,0.75,3,2.75,0,tan
777,0.7,3,3.25,1,purple
778,0.7,3,3.5,1,purple
779,0.75,3,3.25,1,purple
780,0.7,3,2.75,0,tan
781,0.72,3,2.75,0,tan
782,0.75,3,3.25,1,purple
783,0.66,3,3.5,1,purple
784,0.62,5,2.0,2,black
785,0.78,4,3.75,1,purple
786,0.65,5,3.5,2,black
787,0.7,2,2.75,0,tan
788,0.72,2,3.0,0,tan
789,0.7,5,2.5,2,black
790,0.7,5,2.5,2,black
791,0.7,2,3.5,1,purple
792,0.7,2,3.75,1,purple
793,0.7,5,3.0,2,black
794,0.72,3,4.0,1,purple
795,0.7,2,3.25,1,purple
796,0.72,2,3.0,0,tan
797,0.6,3,2.75,2,black
798,0.6,3,3.0,2,black
799,0.6,3,2.5,2,black
800,0.6,3,2.5,2,black
801,0.6,3,2.75,2,black
802,0.76,2,3.0,0,tan
803,0.85,3,3.25,0,tan
804,0.73,3,3.75,1,purple
805,0.76,2,2.5,0,tan
806,0.76,2,2.75,0,tan
807,0.7,3,3.75,1,purple
808,0.7,3,4.0,1,purple
809,0.6,3,3.0,2,black
810,0.82,2,3.5,1,purple
811,0.72,3,3.5,1,purple
812,0.7,3,3.5,1,purple
813,0.68,3,3.75,1,purple
814,0.72,3,4.0,1,purple
815,0.7,3,3.25,1,purple
816,0.74,3,3.5,1,purple
817,0.77,3,3.5,1,purple
818,0.75,2,3.75,1,purple
819,0.7,2,3.0,0,tan
820,0.64,4,3.0,2,black
821,0.71,4,3.0,2,black
822,0.6,4,3.0,2,black
823,0.7,4,3.75,2,black
824,0.72,2,3.0,0,tan
825,0.72,2,3.25,1,purple
826,0.75,2,2.75,0,tan
827,0.75,2,3.5,1,purple
828,0.7,3,3.75,1,purple
829,0.7,2,3.5,1,purple
830,0.7,2,3.5,1,purple
