,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Cocoa Level,Number_of_Ingredients,Ingredient Level,Rating,Rating Level,Ingredients_abbr,Most Memorable Characteristics
23,Dandelion,U.S.A.,2013,Venezuela,"Patanemo, batch 3",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","licorice, sour, rich cocoa"
24,Fresco,U.S.A.,2013,Dominican Republic,"Conacado, #223, MR, SC, batch 13-051",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C",mildly burnt caramel
26,Moho,U.S.A.,2013,Belize,Toledo District,0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","strawberry, blueberry"
30,Patric ,U.S.A.,2013,Peru,"Piura, Choc. Garage Exclusive",0.67,Mid percent,3,3,4.0,Highest,"B,S,C","creamy, cocoa, grapes"
31,Dick Taylor,U.S.A.,2013,Ecuador,"Ecuador, Choc. Garage Exclusive",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","oily, black pepper, roasty"
34,Rogue,U.S.A.,2013,Madagascar,"Akessons Estate, Sambirano, 2013",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","creamy, heavy roast, citrus"
36,French Broad,U.S.A.,2013,Peru,"Palo Blanco, Chulucanas",0.66,Mid percent,2,2,3.5,Mid-level,"B,S","spice, citrus, sweet"
37,Woodblock,U.S.A.,2013,Ecuador,"Camino Verde P., Balao, Guayas, batch 1",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","intense, bourbon "
38,Woodblock,U.S.A.,2013,Trinidad,"Gran Couva, batch 1",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","creamy, woody, mild metallic"
40,Fruition,U.S.A.,2013,Dominican Republic,La Red,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","dried fruit, intense"
49,Guittard,U.S.A.,2013,Haiti,Haiti,0.65,Mid percent,5,5,2.75,Mid-level,"B,S,C,V,L","creamy, sl. Burnt, roasty"
50,Guittard,U.S.A.,2013,Nicaragua,Nicaragua,0.65,Mid percent,5,5,2.75,Mid-level,"B,S,C,V,L","floral, over roasted, harsh"
51,Guittard,U.S.A.,2013,Jamaica,Jamaica,0.65,Mid percent,5,5,3.25,Mid-level,"B,S,C,V,L","sweet, vanilla, cocoa "
52,Guittard,U.S.A.,2013,Ecuador,Ecuador,0.65,Mid percent,5,5,3.5,Mid-level,"B,S,C,V,L","very spicy, roasty"
70,Millcreek Cacao Roasters,U.S.A.,2013,Ecuador,Ecuador,0.7,Mid percent,4,4,2.5,Mid-level,"B,S,C,V","unrefined, burnt nuts, vanilla"
77,Fresco,U.S.A.,2013,Dominican Republic,"Conacado, #224, MR, MC, batch 13-061",0.72,Mid percent,3,3,3.75,Mid-level,"B,S,C","blackberries, caramel, roasty"
78,Rogue,U.S.A.,2013,Dominican Republic,"Hispaniola, 2013",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","sticky, earthy, smokey"
79,Rogue,U.S.A.,2013,Bolivia,"Silvestre, Batch 7, 2013",0.75,High percent,2,2,4.0,Highest,"B,S","smooth, banana, tart, roasty"
82,Madre,U.S.A.,2013,Puerto Rico,Puerto Rico,0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,V","intense vanilla, swiss miss"
83,Madre,U.S.A.,2013,Brazil,Brazil,0.7,Mid percent,4,4,3.5,Mid-level,"B,S,C,V","strong vanilla, nut, coffee"
84,Dandelion,U.S.A.,2013,Venezuela,"Mantuano, 2012, batch 1",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","roasty, oreo shell, coffee"
85,Madre,U.S.A.,2013,U.S.A.,"Hawai'i Island, Choobua, Kona",0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,V","fatty, vanilla, candy-like"
86,Madre,U.S.A.,2013,Mexico,"Xocunusco, Chiapas, Pichucalco",0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,V","vanilla, earthy, caramel"
87,Manoa,U.S.A.,2013,U.S.A.,"O'ahu Island, Waiahole, b. 182",0.72,Mid percent,3,3,3.75,Mid-level,"B,S,C","orange, cocoa"
88,Ritual,U.S.A.,2013,Belize,"Toledo District, Maya, batch 001",0.75,High percent,2,2,3.75,Mid-level,"B,S","thick, slow, pure"
89,Lonohana,U.S.A.,2013,U.S.A.,"O'ahu Island, Opaeula Estate, Nene, CG Exclusive",0.71,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","aluminum, mild coffee, roasty"
90,Davis,U.S.A.,2013,Ghana,Ghana,0.7,Mid percent,4,4,2.5,Mid-level,"B,S,C,L","vanilla, fatty, basic cocoa"
91,Davis,U.S.A.,2013,Dominican Republic,Rainforest,0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,L","chalky, vanilla, caramel"
92,Davis,U.S.A.,2013,Venezuela,Venezuela,0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,L","fatty, powdery, nut, sl. Burnt"
95,Lonohana,U.S.A.,2013,U.S.A.,"O'ahu Island, Opaeula Estate, Ele'ele",0.72,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","strong, brandy, smoke"
96,Lonohana,U.S.A.,2013,U.S.A.,"Hawai'i Island, Hawaiian Crown, Kona Vanilla",0.7,Mid percent,4,4,3.5,Mid-level,"B,S,C,V","sandy, floral, vanilla, candy"
97,Tabal,U.S.A.,2013,Costa Rica,"Costa Rica, batch 83",0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,V","licorice, dried fruit, burnt fuel"
98,Tabal,U.S.A.,2013,Dominican Republic,Dominican Republic,0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,V","oily, cardboard, sour"
99,Castronovo,U.S.A.,2013,Bolivia,"Bolivia, batch 166",0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","sandy, tobacco, molasses"
100,Castronovo,U.S.A.,2013,Dominican Republic,"Conacado, batch 161",0.73,Mid percent,2,2,3.5,Mid-level,"B,S","sandy, mild intensity, fruit"
101,Tabal,U.S.A.,2013,Mexico,"Chiapas, Lacandon Jungle, batch 95",0.7,Mid percent,4,4,2.5,Mid-level,"B,S,C,V","vanilla, fuel, earthy"
102,Tabal,U.S.A.,2013,Peru,"Peru, batch 96",0.7,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","vanilla, fatty, vegetal, mint"
103,Castronovo,U.S.A.,2013,Peru,"San Martin, batch 155",0.7,Mid percent,3,3,2.5,Mid-level,"B,S,C","sandy, fruity, acidic, metallic"
104,Castronovo,U.S.A.,2013,Venezuela,"Guaniamo, Amazonas, batch 159",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, nutty, cocoa"
107,Castronovo,U.S.A.,2013,Nicaragua,"Nicaragua, batch 164",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, molasses, spice"
114,SRSLY,U.S.A.,2013,Dominican Republic,Dominican Republic,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,L","unrefined, sweet, mild coffee"
115,Fresco,U.S.A.,2013,Peru,"San Martin, Bellavista Coop, #226, DR, MC",0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C",cocoa and fresh grapes
116,Middlebury,U.S.A.,2013,Dominican Republic,La Red,0.75,High percent,3,3,2.5,Mid-level,"B,S*,Sa","molassses, palm, spicy"
117,Middlebury,U.S.A.,2013,Belize,Belize,0.8,High percent,4,4,3.25,Mid-level,"B,S,C,Sa","strawberry, cream, spice"
118,Videri,U.S.A.,2013,Blend,"Dark, Central and S. America",0.9,High percent,3,3,3.75,Mid-level,"B,S,C","mellow fruit, tart, mild bitter"
121,SRSLY,U.S.A.,2013,Dominican Republic,Dominican Republic,0.84,High percent,3,3,2.25,Lowest,"B,S,L","gritty,intense coffee, metallic"
123,Brasstown aka It's Chocolate,U.S.A.,2013,Dominican Republic,Cooproagro,0.72,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L","oily, vanilla, caramel, dairy"
124,Brasstown aka It's Chocolate,U.S.A.,2013,Ecuador,"Camino Verde, Guayas",0.7,Mid percent,5,5,3.25,Mid-level,"B,S,C,V,L","intense, alocohol, floral"
125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,0.6,Mid percent,4,4,2.5,Mid-level,"B,S,C,L","sweet, moldy, off"
126,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",0.6,Mid percent,4,4,3.0,Mid-level,"B,S,C,L","sandy, sweet, dairy, spice"
127,Brasstown aka It's Chocolate,U.S.A.,2013,Ghana,"Ghana, batch 021813",0.75,High percent,5,5,3.5,Mid-level,"B,S,C,V,L","fatty, brownie, nutty"
128,Brasstown aka It's Chocolate,U.S.A.,2013,Venezuela,"Chuao, Mantuano blend, batch 23613",0.85,High percent,5,5,3.5,Mid-level,"B,S,C,V,L","intense, cooked banana"
129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",0.8,High percent,4,4,3.25,Mid-level,"B,S,C,L","gritty, berry, mild bitter"
130,Kerchner,U.S.A.,2013,Dominican Republic,"La Red, Project Reserva, Guaconejo",0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","fatty, dark berry, grassy"
132,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",0.6,Mid percent,4,4,3.0,Mid-level,"B,S,C,L","grit, sweet, caramel, fruit"
133,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",0.6,Mid percent,4,4,3.25,Mid-level,"B,S,C,L","gritty, too sweet, fruit"
146,Fresco,U.S.A.,2013,Peru,"Bellavista Coop, #225, LR, MC, CG Exclusive",0.7,Mid percent,3,3,4.0,Highest,"B,S,C",chocolate covered banana
148,Breeze Mill,U.S.A.,2013,Jamaica,Jamaica,0.7,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","chalky, sandy, tart, bland"
151,Castronovo,U.S.A.,2013,Peru,"Tumbes, batch 176",0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","molasses, cocoa"
152,Castronovo,U.S.A.,2013,Venezuela,"Guaniamo, batch 173",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C",mild metallic and spice
153,Dandelion,U.S.A.,2013,Papua New Guinea,"Papua New Guinea, batch 1",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","mild smoke, raspberry,cocoa"
154,Solstice,U.S.A.,2013,Madagascar,Sambirano,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","dry, molasses, sour"
155,Solstice,U.S.A.,2013,Venezuela,Amazonas,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","dairy, cheese, molasses"
156,Sublime Origins,U.S.A.,2013,Madagascar,Sambirano,0.67,Mid percent,2,2,2.75,Mid-level,"B,S","molasses, sour, astringent"
157,Sublime Origins,U.S.A.,2013,Belize,Moho Valley,0.78,High percent,2,2,3.25,Mid-level,"B,S","intense, rich, dark berry"
159,Solstice,U.S.A.,2013,Bolivia,Bolivia,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","intense, leathery, cocoa"
160,Solstice,U.S.A.,2013,Peru,San Martin,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","molasses, grape, sour"
161,Solstice,U.S.A.,2013,Blend,Wasatch,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","creamy, nutty, cocoa"
171,Scharffen Berger,U.S.A.,2007,Blend,"Las Islas, Carribean(DR/Jam/Tri)",0.72,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L",strong smokey tobacco
185,Ritual,U.S.A.,2013,Peru,"Maranon, Cajamarca, batch 002",0.75,High percent,2,2,3.0,Mid-level,"B,S","intense, roasty, spice"
186,Bronx Grrl Chocolate,U.S.A.,2013,Dominican Republic,Dominican Republic,0.68,Mid percent,3,3,2.75,Mid-level,"B,S,C","gritty, sweet, brownie"
187,Fruition,U.S.A.,2013,Ecuador,Camino Verde,0.75,High percent,3,3,3.0,Mid-level,"B,S,C","sandy,sweet, molasses,floral"
192,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,0.74,Mid percent,4,4,2.25,Lowest,"B,S,C,V","waxy, rubber, medicinal"
193,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,0.89,High percent,4,4,2.5,Mid-level,"B,S,C,V","fatty, rubber, medicinal"
195,Rogue,U.S.A.,2013,Jamaica,"Bachelor's Hall E., St. Thomas Parish, batch 1",0.75,High percent,2,2,3.75,Mid-level,"B,S","intense, dark berry, spice"
197,Dick Taylor,U.S.A.,2013,Ecuador,Camino Verde,0.76,High percent,2,2,3.5,Mid-level,"B,S","butter, floral, rum"
207,Vintage Plantations,U.S.A.,2014,Peru,San Martin,0.75,High percent,3,3,3.0,Mid-level,"B,S,C","sandy, sweet, nutty"
210,French Broad,U.S.A.,2014,Costa Rica,San Andres,0.8,High percent,2,2,3.0,Mid-level,"B,S","mild bitter, roasty, red berry"
211,Rogue,U.S.A.,2014,Venezuela,Porcelana,0.8,High percent,2,2,3.75,Mid-level,"B,S","red fruit, intense, earthy"
214,Videri,U.S.A.,2014,Dominican Republic,Dominican Republic,0.9,High percent,3,3,3.25,Mid-level,"B,S,C","intense, cocoa, spicy, fruit"
215,Videri,U.S.A.,2014,Trinidad,Trinidad,0.75,High percent,3,3,3.5,Mid-level,"B,S,C","spicy, roasty, acidic, dairy"
216,Cacao Atlanta,U.S.A.,2014,Peru,Tumbes,0.75,High percent,2,2,2.5,Mid-level,"B,S","roasty, almost burnt, intense"
220,Mana,U.S.A.,2014,Peru,Peru,0.74,Mid percent,3,3,2.5,Mid-level,"B,S,C","rubber, off medicinal"
221,Mana,U.S.A.,2014,Venezuela,Venezuela,0.74,Mid percent,3,3,2.75,Mid-level,"B,S,C","nutty, green"
223,Dandelion,U.S.A.,2014,Belize,Maya Mountain,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","heavy roast, blackberry"
230,Videri,U.S.A.,2014,Ecuador,Mindo,0.75,High percent,3,3,3.5,Mid-level,"B,S,C","spicy, nutmeg, brownie"
241,twenty-four blackbirds,U.S.A.,2014,Madagascar,"Madagascar, lot 137",0.75,High percent,2,2,3.5,Mid-level,"B,S","intense, red berry"
243,Chequessett,U.S.A.,2014,Costa Rica,la Amistad,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","green, leafy"
244,Dick Taylor,U.S.A.,2014,Dominican Republic,Elvesia,0.74,Mid percent,2,2,3.5,Mid-level,"B,S","mild fruit and spice, roasty"
245,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,Bolivia,"Alto Beni, Upper Rio Beni, 2014",0.67,Mid percent,3,3,3.5,Mid-level,"B,S,C",full flavor spectrum
248,Treehouse,U.S.A.,2014,Dominican Republic,Conacado,0.72,Mid percent,2,2,3.0,Mid-level,"B,S","baked, roasty, coffee"
249,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,Bolivia,"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",0.67,Mid percent,3,3,3.0,Mid-level,"B,S,C","woody, earthy, medicinal"
250,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,Ecuador,"Los Rios, Hacienda Limon, Orecao, 2014",0.67,Mid percent,3,3,3.75,Mid-level,"B,S,C","nutty, butterscotch"
251,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,U.S.A.,"O'ahu Island, Maunawili, Agri Research C., 2014",0.67,Mid percent,3,3,3.75,Mid-level,"B,S,C","spicy, intense, fades fast"
252,Woodblock,U.S.A.,2014,Peru,"Maranon, Cajamarca",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","sandy, intense, mild nutty"
255,Cello,U.S.A.,2014,Ecuador,Ecuador,0.7,Mid percent,3,3,2.5,Mid-level,"B,S,C","burnt rubber, leather"
256,Cello,U.S.A.,2014,Peru,Peru,0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","mild fruit, off notes"
257,Kiskadee,U.S.A.,2014,Dominican Republic,"La Red, Guanconjeco",0.6,Mid percent,2,2,3.0,Mid-level,"B,S","gritty, overly sweet, citrus"
258,Parliament,U.S.A.,2014,Bolivia,Alto Beni,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","gritty, woody, acidic"
259,Cello,U.S.A.,2014,Venezuela,Venezuela,0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","nutty, roasty, smokey"
260,Cello,U.S.A.,2014,Bolivia,Bolivia,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","creamy, woody, slight cherry"
261,Indi,U.S.A.,2014,Honduras,Honduras,0.77,High percent,3,3,3.0,Mid-level,"B,S,C","buttery, intense, spice, roasty"
263,Parliament,U.S.A.,2014,Dominican Republic,"Oko Caribe, batch 4",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","mild spice, grapes"
264,Brasstown aka It's Chocolate,U.S.A.,2014,Belize,Maya Mountain,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","intense, cocoa, complex"
266,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,0.75,High percent,2,2,3.0,Mid-level,"B,S","chalky, mild fruit, burnt"
268,Chocolate Conspiracy,U.S.A.,2014,Peru,Peru,0.74,Mid percent,3,3,2.75,Mid-level,"B,S*,C","unrefined, odd, vegetal"
275,Bowler Man,U.S.A.,2014,Belize,Maya Mountain,0.7,Mid percent,3,3,2.75,Mid-level,,"sandy, vanilla, candy-like"
279,Taza,U.S.A.,2014,Belize,Belize,0.68,Mid percent,3,3,3.0,Mid-level,"B,S,C","coarse, watering, sweet"
280,Bowler Man,U.S.A.,2014,Dominican Republic,Conacado,0.7,Mid percent,3,3,2.75,Mid-level,,"gritty, sweet, mild coffee"
281,Isidro,U.S.A.,2014,Madagascar,"Madagascar, batch 27",0.72,Mid percent,2,2,3.5,Mid-level,"B,S","intense, tart, earthy"
282,Ethereal,U.S.A.,2014,Belize,Belize,0.8,High percent,3,3,3.0,Mid-level,"B,S,C","mild fruit, earthy"
283,Ethereal,U.S.A.,2014,Ecuador,Ecuador,0.8,High percent,3,3,3.5,Mid-level,"B,S,C","spicy, roasty, mild bitter"
284,Ethereal,U.S.A.,2014,Dominican Republic,Dominican Republic,0.8,High percent,3,3,3.75,Mid-level,"B,S,C","coarse, mild bitter, raisin"
285,Isidro,U.S.A.,2014,Peru,"Peru, batch 25",0.72,Mid percent,2,2,2.25,Lowest,"B,S","off notes, pungent"
286,Isidro,U.S.A.,2014,Belize,"Belize, batch 26",0.72,Mid percent,2,2,3.25,Mid-level,"B,S","mild metallic, spice, tea"
287,Isidro,U.S.A.,2014,Dominican Republic,"Dominican Republic, batch 30",0.72,Mid percent,2,2,3.25,Mid-level,"B,S","roasty, nutty, spicy"
290,Finca,U.S.A.,2014,Puerto Rico,Puerto Rico,0.65,Mid percent,3,3,2.25,Lowest,"B,S,C","intense, molasses, sweet"
291,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,0.8,High percent,3,3,3.0,Mid-level,"B,S,C","molasses, licorice, bitter"
292,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, sweet, mild fruit"
293,Meadowlands,U.S.A.,2014,Bolivia,Bolivia,0.7,Mid percent,2,2,2.5,Mid-level,"B,S","pungent, off"
294,Meadowlands,U.S.A.,2014,Venezuela,Venezuela,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","molasses, sweet, choco"
295,Meadowlands,U.S.A.,2014,Belize,Belize,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","spicy, metallic, molasses"
296,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,0.85,High percent,3,3,2.5,Mid-level,"B,S,C","intense, molasses, bitter"
301,Amano,U.S.A.,2007,Madagascar,Madagascar,0.7,Mid percent,4,4,3.5,Mid-level,"B,S,C,V","spice, nut, cocoa, fruit"
303,Meadowlands,U.S.A.,2014,Nicaragua,"Nicaragua, w/ inbs",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","fatty, sligthly bland, earthy"
304,Meadowlands,U.S.A.,2014,Dominican Republic,Dominican Republic,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","high roast, nutty, deep choco"
305,Stone Grindz,U.S.A.,2014,Ecuador,"Ecuador, Midnight Dark, batch 600414",0.84,High percent,3,3,3.5,Mid-level,"B,S,C","floral, hints of fruit"
306,Stone Grindz,U.S.A.,2014,Ecuador,"Ecuador, Twilght Dark, batch 500414",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","oily surface, floral, earthy"
307,French Broad,U.S.A.,2014,Nicaragua,Matagalpa,0.68,Mid percent,2,2,3.25,Mid-level,"B,S","sweet, tobacco"
308,Noble Bean aka Jerjobo,U.S.A.,2014,Ghana,Ghana,0.75,High percent,4,4,3.0,Mid-level,"B,S*,V,L","nutty, high roast, spice"
309,Bar Au Chocolat,U.S.A.,2014,Peru,Maranon Canyon,0.7,Mid percent,2,2,4.0,Highest,"B,S","creamy, rounded, orange"
310,Dandelion,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, 2013",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","gummy, nutty, bourbon"
311,Noble Bean aka Jerjobo,U.S.A.,2014,Belize,Moho Valley,0.75,High percent,4,4,3.0,Mid-level,"B,S*,V,L","coconut, mild metallic"
312,Noble Bean aka Jerjobo,U.S.A.,2014,Peru,Maranon Canyon,0.75,High percent,4,4,3.25,Mid-level,"B,S*,V,L","roasty, mild orange"
313,Burnt Fork Bend,U.S.A.,2014,Trinidad,"Trinidad, batch 05050114",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","high roast, coffee, spicy"
314,Burnt Fork Bend,U.S.A.,2014,Ecuador,"Mindo, batch 01040914",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","floral, mild citrus, orange"
316,Burnt Fork Bend,U.S.A.,2014,Belize,Belize,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","roasty, fruit, mild metallic"
317,Burnt Fork Bend,U.S.A.,2014,Blend,Blend,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","coffee, high roast, spicy"
318,Dandelion,U.S.A.,2014,Liberia,Buto,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","roasty, spicy, nutty"
326,Pitch Dark,U.S.A.,2014,Madagascar,Akesson Estate,0.73,Mid percent,2,2,3.25,Mid-level,"B,S","intense, dried fruit, roasty"
327,Pitch Dark,U.S.A.,2014,Fiji,Namau Village,0.73,Mid percent,2,2,2.5,Mid-level,"B,S","intense smoke, medicinal"
331,Pitch Dark,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, ""Fruity""",0.73,Mid percent,2,2,3.25,Mid-level,"B,S","tobacco, woody, rum"
332,Pitch Dark,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, ""Floral""",0.73,Mid percent,2,2,3.5,Mid-level,"B,S","intense, floral, leather"
335,Terroir,U.S.A.,2014,Ecuador,"Ecuador, batch 6-5-15",0.77,High percent,2,2,3.25,Mid-level,"B,S","intense, mild coffee and rum"
336,Terroir,U.S.A.,2014,Madagascar,"Madagascar, batch 6-5-15",0.67,Mid percent,2,2,3.75,Mid-level,"B,S","sweet, rich, tannic, fruity"
337,Terroir,U.S.A.,2014,Uganda,"Uganda, batch 6-3-15",0.73,Mid percent,2,2,3.75,Mid-level,"B,S","creamy, almond, butter"
338,Burnt Fork Bend,U.S.A.,2014,Ecuador,"Ecuador, Bob Bar",0.6,Mid percent,3,3,2.5,Mid-level,"B,S,C","sweet, sour dairy"
347,Shark Mountain,U.S.A.,2014,Ecuador,Ecuador,0.75,High percent,2,2,3.0,Mid-level,"B,S","coffee, nutty"
348,Shark Mountain,U.S.A.,2014,Belize,"Belize, 2013",0.72,Mid percent,2,2,3.25,Mid-level,"B,S","fruity, blueberry"
349,Solstice,U.S.A.,2014,Uganda,Bundibugyo,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","molasses, licorice, muted"
359,Fruition,U.S.A.,2014,Trinidad,Gran Couva,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","delicate, hebs, choco"
362,Castronovo,U.S.A.,2014,Colombia,"Sierra Nevada, batch 1",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","caramel, molasses, fruit"
365,Scharffen Berger,U.S.A.,2007,Blend,Nibby,0.62,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L","sweet, base cocoa"
366,Scharffen Berger,U.S.A.,2007,Venezuela,Cuyagua,0.75,High percent,5,5,3.75,Mid-level,"B,S,C,V,L","complex, strawberry, tart"
373,Brasstown aka It's Chocolate,U.S.A.,2014,Venezuela,Chuao,0.7,Mid percent,3,3,4.0,Highest,"B,S,C","intense, raisins, roasty"
376,Fruition,U.S.A.,2014,Peru,Maranon,0.76,High percent,3,3,3.0,Mid-level,"B,S,C","acidic, undefined, brownie, off"
377,Kyya,U.S.A.,2014,Uganda,Uganda,0.725,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,Sa","vanilla, earth, cardboard"
378,Kyya,U.S.A.,2014,Dominican Republic,Hispaniola,0.725,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,Sa","vanilla, candy-like, sour milk"
379,Mast Brothers,U.S.A.,2014,Blend,"French Laundry 20th Anniversary, Peru, Belize",0.75,High percent,2,2,3.75,Mid-level,"B,S","tart, deep choco"
380,Kyya,U.S.A.,2014,Ecuador,Ecuador,0.725,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,Sa","intense, bourbon, vanilla"
381,Kyya,U.S.A.,2014,Madagascar,Madagascar,0.725,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,Sa",mild vanilla and mild fruit
